specific_subject,appearance_count
单雄信幼时,1
南巨川常识判冥者张叔,1
南朝,1
博士丘濡说,1
卜人徐道升,1
卢县东,1
卢城之东,1
卫国县,1
卫国县西南,1
印鱼,1
历城北,1
历城北二里,1
历城县光政寺,1
历城县魏明寺中,1
历城房家园,1
厌鼠法,1
又曰白日尸解,1
又见身光衣触,1
又言那兰陀寺,1
取木鸡、木雀、鹞网目方二,1
取鹰法,1
口脂,1
古琵琶用鸡股,1
古锅,1
古龟兹国王阿,1
句曲山五芝,1
召奏用虎爪,1
史秀才者,1
史论,1
史论作,1
号叫地狱,1
司农卿韦正贯应举时,1
同州司马裴沆,1
后魏胡后,1
吐绶鸟,1
君王盐,1
吴公,1
吸筒,1
周官,1
和州刘录事者,1
咨议朱景玄,1
咸阳宫,1
咸阳宫中,1
善苑国,1
嗽金鸟,1
四彩女如影等,1
四种乐,1
国初,1
图藉,1
土槟榔,1
在子者,1
地日草,1
地钱,1
坚昆部落非狼种,1
壁影,1
壁鱼,1
处士周洪,1
夏启,1
夜行游女,1
大历末,1
大定,1
大尾羊,1
大虫,1
大虫皮,1
天名精,1
天后任酷吏罗织,1
天宝,1
天山,1
天牛虫,1
天翁姓张,1
天翁姓张名坚,1
天芊,1
天铁熊,1
太一君讳腊,1
太原郡东,1
太和三年,1
太和末,1
太宗虬须,1
太极真仙中,1
夫学道之人,1
夫度朔司刑,1
奔孚,1
女娲,1
妆尚靥如射月,1
妒妇津,1
姜楚公常游禅定寺,1
威远军小,1
娑罗,1
婆弥烂国,1
婆那娑树,1
婺州僧清简,1
孔雀,1
孙思邈,1
孝亿国界周三千馀里,1
宁公所饭牛,1
宁王宪寝疾,1
宁王常猎于县界,1
安丰县尉裴,1
安息香树,1
安禄山恩宠莫比,1
宋居士说,1
官金中蝼顶金最上,1
寄居,1
山气多男,1
山萧,1
岢岚鸟,1
岭南溪洞中往往,1
峡中俗,1
崔承宠,1
崔玄亮常侍,1
工部员外张周封,1
工部员外郎张周封,1
左行草,1
师子,1
帝女子泽,1
干陀国头河岸,1
干陀国昔,1
平原县西十里,1
平原郡,1
平原高菀城东,1
并序,1
庆云,1
庐山,1
度古,1
庾信作诗,1
开元,1
开元中,1
异字,1
异木,1
异果,1
异树,1
异菌,1
异蒿,1
异虫,1
异蜂,1
异鱼,1
异鸟,1
张芬,1
张芬曾,1
张魏公,1
律,1
徐敬业年十馀岁,1
息土人美,1
慈恩,1
慈恩寺,1
慈恩寺僧广升,1
慈竹,1
成式,1
成式三从兄遘,1
成式以天地间所化所产,1
成式曾一夕堂中会,1
成式相识温介云,1
成式至德坊三从伯父,1
成式门下驺路神通,1
成都宝相寺偏院小殿中,1
或,1
或言龙血入地,1
房孺复妻崔氏,1
手板,1
扬州,1
扬州东陵圣母庙王女道士康,1
扶桑,1
承受石,1
折粟米法,1
护门草,1
拔汗那,1
拥剑,1
拨拔力国,1
挟剑豆,1
掌中芥,1
散花白,1
数丸,1
方诸山,1
旃檀,1
旃檀鼓,1
无启民,1
无石子,1
旧记藏区令人,1
旧说不,1
旧说苏合香,1
旧说野狐名紫狐,1
昆仑之墟,1
昆吾国,1
明皇封禅泰山,1
明经赵业贞元中选授巴州清,1
晋令,1
晋时,1
晋朱桓,1
晋罗什与人棋,1
晋许旌阳,1
晋隆安中,1
景公寺,1
景公寺前街中,1
月中,1
望舒草,1
木五香,1
木仆,1
木囚,1
木字,1
木瓜,1
木简,1
木耳夷,1
木饮州,1
李公佐大历中,1
李叔詹常识一范阳山人,1
李墉,1
李夷简,1
李师古治山亭,1
李廓,1
李彦佐,1
李洪山人,1
李白名播海内,1
李铉著《李子正辩》,1
材下,1
杜鹃,1
杨慎矜兄弟富贵,1
杨虞卿,1
松,1
松桢,1
构,1
柳芳,1
柴蒿,1
柿,1
栀子,1
桃核,1
梁,1
梁主客陆缅谓魏使尉瑾,1
梁刘孝仪食鲭,1
梁宴魏使,1
梁宴魏使李骞、崔︱,1
梁徐君房劝魏使瑾酒,1
梁朝杂律,1
梁正旦,1
梁简文帝,1
梁简文延香园,1
梁遣黄门侍郎明,1
梦草,1
梨,1
梵僧不空,1
梵僧菩萨胜又,1
棘竹,1
椒,1
楚州,1
楚州界,1
楷,1
樟木,1
武攸绪,1
武溪夷田强,1
毒槊,1
毒蜂,1
毗尸沙花,1
水网藻,1
水耐冬,1
水虫,1
水蛆,1
水韭,1
汉仪,1
汉帝杏,1
汉木,1
汉竹宫用紫泥,1
汉高祖入咸阳宫,1
江西,1
江西人,1
没树,1
河阳,1
河阳城南百姓王氏,1
油点草,1
波斯属国,1
波斯枣,1
波斯皂荚,1
海州司马韦敷曾往嘉兴,1
清珠,1
清（一,1
渔阳白,1
温泉中鱼,1
漠北白者,1
灶无故自湿润者,1
灶神名隗,1
灶马,1
炎帝甲,1
炼铜时,1
焦米,1
燃石,1
燕,1
燕公,1
燕公常读其夫子学堂碑颂,1
爨釜不沸者,1
牛,1
牛黄,1
牡丹,1
牡蛎,1
牧靡,1
犀之通天者必恶影,1
犬吉犬屈,1
犬犬国,1
狒狒,1
独孤叔牙,1
狼,1
猩唇、炙、翠、ㄐ腴、糜腱,1
獠,1
玄宗又,1
玄宗学隐形于罗公远,1
玄宗常伺察诸王,1
玄宗幸蜀,1
玄宗既召,1
玄金,1
玉桃,1
玉龙,1
王勃每,1
王彦威尚书,1
王母使者,1
王沂者,1
王潜,1
王玄荣俘中天竺王阿罗那顺,1
王皎（一,1
玳瑁,1
珊瑚,1
瓜,1
瓦松,1
