specific_subject,appearance_count
有三种,1
有佛迹,1
朗法师,1
木五香,1
木瓜,1
本莲茎名,1
札,1
李公佐,1
李叔詹常识一范阳山人,1
李夷简,1
李子长,1
李廓,1
李彦佐,1
李揆相公,1
李章武,1
杨子,1
杨虞卿,1
杵臼,1
松,1
柳凌,1
柿,1
柿树有七绝,1
梁刘孝仪食鲭,1
梁朝杂律,1
梁正旦,1
梁简文延香园,1
梁舍人贺季,1
棘竹,1
楷,1
樊晃,1
樟木,1
武溪夷田强,1
毗尸沙花,1
水居者腥,1
水网藻,1
水耐冬,1
水韭,1
永明,1
永贞,1
汉仪,1
汉竹宫用紫泥为坛,1
沧浪青钱,1
河西骑将宋青春,1
河阳城南百姓王氏,1
河阳黄鱼池,1
油点草,1
济南郡有方山,1
海州司马韦敷,1
渔阳白,1
温会在江州,1
漉去汤肥,1
火末虫处,1
灶神名隗,1
焦米,1
照毗琉璃镜,1
牙牌,1
牛,1
牡丹,1
牡蛎,1
牧靡,1
犯墨者皂巾,1
独肝,1
狼,1
玄奘,1
玄金,1
玉门军,1
玉龙,1
王庚,1
王母蒲萄,1
王潜,1
王肃,1
瓜,1
瓦松,1
瓷碗,1
甘子,1
甘而不,1
甲子神,1
申王,1
白居易舍人,1
白柰,1
白睛,1
白鸡,1
白鹊,1
皇览,1
盆甑草,1
监舍,1
目不寅,1
相传食虎,1
睡莲,1
睿宗初生含凉殿,1
知回易,1
石头,1
神厨,1
禅定寺,1
禅师玄览住荆州陟屺寺,1
秀才权同休友人,1
私诃条国,1
科藤,1
秘书郎韩泉,1
秣陵令谢藻,1
称,1
窟莽,1
端门,1
竹肉,1
竹蜜蜂,1
笑曰,1
粟奴,1
红草,1
经数日,1
经月,1
羽嘉,1
老君西越流沙,1
老鸦爪篱,1
老𪅠,1
耶希,1
肃宗将至灵武一驿,1
肠胃成胡鹿刀槊之状,1
胜于丝竹,1
胡蔓草,1
胡鹿,1
能上树,1
能言名理,1
脂衣柰,1
脊中鳞一道,1
脑神曰觉元,1
至德,1
舞草,1
苏牙树,1
苏都瑟匿国,1
苔,1
茄子,1
荀讽,1
荆人道士王彦伯,1
草,1
荷,1
莫知其树实之形,1
莲石,1
菡堕竹,1
营道县令何潜之,1
萧子云,1
葛稚川,1
蒟蒻,1
蓬鹊山,1
蔓胡桃,1
蔓金苔,1
薰陆香,1
虞乡有山观,1
虞舜象刑,1
虞部郎中陆绍弟,1
虱,1
虾蟆护,1
蚍蜉酒草,1
蚺蛇,1
蜀,1
蜀人工于刺,1
蜀小将韦,1
蜀葵,1
蝎,1
蝶,1
蟾蜍矢,1
衡阳湘乡县有石鱼山,1
衣触,1
补阙张周封,1
西王母姓杨,1
规明镜,1
言是己旧宅,1
谒者赞曰,1
谓曰,1
谛观,1
谢康乐集,1
象耳皮,1
贞观中,1
赐侍臣彩花树,1
赤斑唐,1
越人习水,1
辐轮殿,1
辩,1
选人,1
通脱木,1
道士秦霞霁,1
遽白上,1
避役,1
邢和璞偏得黄老之道,1
郑云,1
郑相,1
郑言,1
酉阳杂俎,1
释迦如来,1
野狐丝,1
金含毗罗城,1
钟藤,1
铁镜,1
铜匙草,1
铜神,1
铜马,1
铭曰,1
镜石,1
长乐,1
长陵,1
陈司徒,1
陈昭,1
陵州龙兴寺僧惠恪,1
陶隐居,1
雀芋,1
集贤,1
雌雉,1
青斑唐,1
青田核,1
青草槐,1
韩,1
风狸,1
飞天夜叉,1
食必方丈,1
首领,1
马侍中,1
骆宾王为徐敬业作檄,1
骨利干国,1
高丽,1
高宗初扶床,1
高宗时,1
高,1
鬣,1
鬼矢,1
魏任城王,1
魏使李同轨、陆操聘梁,1
魏使陆操至梁,1
魏公,1
魏孝昭,1
魏明帝起凌云台,1
魏杨元稹能解,1
魏武帝,1
魏肇师举酒劝陈昭,1
魏贾,1
魏高阳王雍,1
鱼炙,1
鲤,1
鲤鲋法,1
鸡头实,1
鸢,1
鸭舌草,1
鹰之雌雄,1
鹳,1
黑皂鹂,1
齐博陵君豹,1
龙象,1
龟兹国,1
吉蜣,1
翳翁,1
鬼,1
