broad_category,level1_subject,level2_subject,specific_subject,volume_index,volume_title,source,paragraph_id,primary_subject,keywords,text
鬼怪妖魅,鬼怪妖魅,仙神,仙神,34,卷十七·广动植之二,三校,V34-P787,仙神,仙、仙人,仙人枣，晋时大仓南有翟泉，泉西有华林园，园有仙人枣，长五寸，核细如针。
人物政事,人物政事,帝王,帝王,34,卷十七·广动植之二,三校,V34-P788,帝王,上,楷，孔子墓上特多楷木。
梦兆占卜,梦兆占卜,占卜预言,占卜预言,34,卷十七·广动植之二,三校,V34-P789,占卜预言,卜、相,栀子，诸花少六出者，唯栀子花六出。陶真白言，栀子剪花六出，刻房七道，其花香甚。相传即西域瞻卜花也。
饮食医药,饮食医药,医术药理,医术药理,34,卷十七·广动植之二,三校,V34-P790,医术药理,治、疾,仙桃，出郴州苏耽仙坛。有人至，心祈之辄落坛上，或至五六颗。形似石块，赤黄色，破之，如有核三重。研饮之，愈众疾，尤治邪气。
人物政事,人物政事,将相臣子,将相臣子,34,卷十七·广动植之二,三校,V34-P791,将相臣子,臣、令,娑罗，巴陵有寺，僧房床下忽生木，随伐随长。外国僧见曰：「此娑罗也。」元嘉初，出花如莲。天宝初，安西道进娑罗枝，状言：「臣所管四镇，有拔汗那最为密近，木有娑罗树，……
植物,植物,树木,树木,34,卷十七·广动植之二,三校,V34-P791,树木,松、榆、桂,娑罗，巴陵有寺，僧房床下忽生木，随伐随长。外国僧见曰：「此娑罗也。」元嘉初，出花如莲。天宝初，安西道进娑罗枝，状言：「臣所管四镇，有拔汗那最为密近，木有娑罗树，……
植物,植物,花草,花草,34,卷十七·广动植之二,三校,V34-P791,花草,花、莲、桃,娑罗，巴陵有寺，僧房床下忽生木，随伐随长。外国僧见曰：「此娑罗也。」元嘉初，出花如莲。天宝初，安西道进娑罗枝，状言：「臣所管四镇，有拔汗那最为密近，木有娑罗树，……
植物,植物,果蔬,果蔬,34,卷十七·广动植之二,三校,V34-P791,果蔬,桃、李,娑罗，巴陵有寺，僧房床下忽生木，随伐随长。外国僧见曰：「此娑罗也。」元嘉初，出花如莲。天宝初，安西道进娑罗枝，状言：「臣所管四镇，有拔汗那最为密近，木有娑罗树，……
佛道宗教,佛道宗教,佛法,佛法,34,卷十七·广动植之二,三校,V34-P791,佛法,僧、寺,娑罗，巴陵有寺，僧房床下忽生木，随伐随长。外国僧见曰：「此娑罗也。」元嘉初，出花如莲。天宝初，安西道进娑罗枝，状言：「臣所管四镇，有拔汗那最为密近，木有娑罗树，……
佛道宗教,佛道宗教,道法,道法,34,卷十七·广动植之二,三校,V34-P791,道法,道、丹,娑罗，巴陵有寺，僧房床下忽生木，随伐随长。外国僧见曰：「此娑罗也。」元嘉初，出花如莲。天宝初，安西道进娑罗枝，状言：「臣所管四镇，有拔汗那最为密近，木有娑罗树，……
超自然力量,超自然力量,灵异物件,灵异物件,34,卷十七·广动植之二,三校,V34-P791,灵异物件,奇、宝,娑罗，巴陵有寺，僧房床下忽生木，随伐随长。外国僧见曰：「此娑罗也。」元嘉初，出花如莲。天宝初，安西道进娑罗枝，状言：「臣所管四镇，有拔汗那最为密近，木有娑罗树，……
植物,植物,树木,树木,34,卷十七·广动植之二,三校,V34-P792,树木,柽,赤白柽，出凉州。大者为炭，复入以灰汁，可以煮铜为银。
人物政事,人物政事,帝王,帝王,34,卷十七·广动植之二,三校,V34-P793,帝王,上,仙树，祁连山上有仙树实，行旅得之止饥渴。一名四味木。其实如枣，以竹刀剖则甘，铁刀剖则苦，木刀剖则酸，芦刀剖则辛。
植物,植物,树木,树木,34,卷十七·广动植之二,三校,V34-P794,树木,檀,木五香：根栴檀，节沉香，花鸡舌，叶藿，胶薰陆。
植物,植物,花草,花草,34,卷十七·广动植之二,三校,V34-P794,花草,花,木五香：根栴檀，节沉香，花鸡舌，叶藿，胶薰陆。
人物政事,人物政事,帝王,帝王,34,卷十七·广动植之二,三校,V34-P795,帝王,上,椒，可以来水银。茱萸气好上，椒气好下。
梦兆占卜,梦兆占卜,祥瑞灾异,祥瑞灾异,34,卷十七·广动植之二,三校,V34-P797,祥瑞灾异,水、火,黄杨木，性难长，世重黄杨以无火。或曰以水试之，沉则无火。取此木必以阴晦，夜无一星则伐之，为枕不裂。
植物,植物,果蔬,果蔬,34,卷十七·广动植之二,三校,V34-P798,果蔬,枣、橘、柚,蒲萄，俗言蒲萄蔓好引于西南。庾信谓魏使尉瑾曰：「我在邺，遂大得蒲萄，奇有滋味。」陈昭曰：「作何形状？」徐君房曰：「有类软枣。」信曰：「君殊不体物，可得言似生荔枝……
饮食医药,饮食医药,食物饮品,食物饮品,34,卷十七·广动植之二,三校,V34-P798,食物饮品,食、酒、酿,蒲萄，俗言蒲萄蔓好引于西南。庾信谓魏使尉瑾曰：「我在邺，遂大得蒲萄，奇有滋味。」陈昭曰：「作何形状？」徐君房曰：「有类软枣。」信曰：「君殊不体物，可得言似生荔枝……
建筑寺塔,建筑寺塔,寺观塔庙,寺观塔庙,34,卷十七·广动植之二,三校,V34-P799,寺观塔庙,寺、观,贝丘之南有蒲萄谷，谷中蒲萄，可就其所食之，或有取归者即失道，世言王母蒲萄也。天宝中，沙门昙霄因游诸岳，至此谷，得蒲萄食之。又见枯蔓堪为杖，大如指，五尺余，持还本……
器物技艺,器物技艺,用具杂器,用具杂器,34,卷十七·广动植之二,三校,V34-P799,用具杂器,帐、尺,贝丘之南有蒲萄谷，谷中蒲萄，可就其所食之，或有取归者即失道，世言王母蒲萄也。天宝中，沙门昙霄因游诸岳，至此谷，得蒲萄食之。又见枯蔓堪为杖，大如指，五尺余，持还本……
植物,植物,花草,花草,34,卷十七·广动植之二,三校,V34-P800,花草,花,凌霄花中露水，损人目。
植物,植物,树木,树木,34,卷十七·广动植之二,三校,V34-P801,树木,松,松桢，即钟藤也。叶大，晋安人以为盘。
饮食医药,饮食医药,食物饮品,食物饮品,34,卷十七·广动植之二,三校,V34-P802,食物饮品,酒,侯骚，蔓生，子如鸡卵，既甘且冷，轻身消酒。《广志》言，因王太仆所献。
人物政事,人物政事,帝王,帝王,34,卷十七·广动植之二,三校,V34-P803,帝王,帝,蠡荠，子如弹丸，魏武帝常啖之。
饮食医药,饮食医药,食物饮品,食物饮品,34,卷十七·广动植之二,三校,V34-P804,食物饮品,食、酒,酒杯藤，大如臂，花坚可酌酒，实大如指，食之消酒。
动物,动物,兽类,兽类,34,卷十七·广动植之二,三校,V34-P805,兽类,猪、兔,白柰，出凉州野猪泽，大如兔头。
