volume_index,volume_title,source,paragraph_id,duplicate_broad_categories,duplicate_specific_subjects,text
28,卷十四·诺皋记上,三校,V28-P495,植物、器物技艺、饮食医药、天文地理,果蔬、用具杂器、食物饮品、医术药理、天象,大历中，有士人庄在渭南，遇疾卒于京，妻柳氏因庄居。子年十二，夏夜，其子忽恐悸不眠。三更后，忽见老人，白衣，两牙出吻外，熟视之。良久，渐近床前。床前有婢眠熟，因扼……
28,卷十四·诺皋记上,三校,V28-P498,动物、建筑寺塔、佛道宗教、饮食医药、梦兆占卜、天文地理,兽类、寺观塔庙、佛法、食物饮品、祥瑞灾异、天象,博士丘濡说，汝州旁县，五十年前，村人失其女。数岁忽自归，言初被物寐中牵去，倏止处，及明，乃在古塔中。见美丈夫，谓曰：「我天人，分合得汝为妻。自有年限，勿生疑惧。……
28,卷十四·诺皋记上,三校,V28-P501,人物政事、植物、建筑寺塔、佛道宗教、天文地理,帝王、僧尼、花草、宫殿城楼、寺观塔庙、佛法、道法、天象,郑相在梁州，有龙兴寺僧智圆，善总持敕勒之术，制邪理痛多著效，日有数十人候门。智圆腊高稍倦，郑公颇敬之。因求住城东隙地，郑公为起草屋种植，有沙弥、行者各人。居之数……
28,卷十四·诺皋记上,三校,V28-P503,器物技艺、天文地理,武器、用具杂器、地理山水,元和中，苏湛游蓬鹊山，裹粮钻火，境无遗跬。忽谓妻曰：「我行山中，睹倒崖有光镜，必灵境也。明日将投之，今与卿诀。」妻子号泣，止之不得。及明遂行，妻子领奴婢潜随之。……
29,卷十五·诺皋记下,三校,V29-P504,动物、建筑寺塔、饮食医药,鱼类、宫殿城楼、食物饮品、医术药理,和州刘录事者，大历中，罢官居和州旁县。食兼数人，尤能食鲙，常言鲙味未尝果腹。邑客乃网鱼百余斤，会于野亭，观其下箸。初食鲙数叠，忽似哽，咯出骨珠子，大如黑豆，乃置……
29,卷十五·诺皋记下,三校,V29-P507,人物政事、器物技艺、梦兆占卜、天文地理,将相臣子、用具杂器、衣饰、祥瑞灾异、天象、地理山水,僧无可言，近传有白将军者，常于曲江洗马，马忽跳出惊走。前足有物，色白如衣带，萦绕数匹。遽令解之，血流数升。白异之，遂封纸帖中，藏衣箱内。日，送客至滻水，出示诸客……
29,卷十五·诺皋记下,三校,V29-P508,佛道宗教、天文地理,佛法、地理山水,景公寺前街中，旧有巨井，俗呼为八角井。元和初，有公主夏中过，见百姓方汲，令从婢以银棱碗就井取水，误坠碗。经月余，出于渭河。
29,卷十五·诺皋记下,三校,V29-P509,器物技艺、饮食医药、梦兆占卜、天文地理,用具杂器、衣饰、食物饮品、占卜预言、天象,东平未用兵，有举人孟不疑，客昭义。夜至驿，方欲濯足，有称淄青张评事者，仆从数十，孟欲参谒，张被酒，初不顾，孟因退就西间。张连呼驿吏索煎饼，孟默然窥之，且怒其傲。……
29,卷十五·诺皋记下,三校,V29-P510,人物政事、建筑寺塔、器物技艺、佛道宗教、饮食医药、梦兆占卜、天文地理,僧尼、宫殿城楼、用具杂器、衣饰、佛法、道法、医术药理、占卜预言、天象、地理山水,"刘积中，常于京近县庄居。妻病重。于夕刘未眠，忽有妇人白首，长才三尺，自灯影中出，谓刘曰：「夫人病，唯我能理，何不祈我。""刘素刚，咄之，姥徐戟手曰：「勿悔！勿悔！……"
29,卷十五·诺皋记下,三校,V29-P511,建筑寺塔、梦兆占卜,宫殿城楼、祥瑞灾异,临川郡南城县令戴察，初买宅于馆娃坊。暇日，与弟闲坐厅中，忽听妇人聚笑声，或近或远，察颇异之。笑声渐近，忽见妇人数十，散在厅前，倏忽不见。如是累日，察不知所为。厅……
29,卷十五·诺皋记下,三校,V29-P517,动物、器物技艺、天文地理,鸟类、用具杂器、地理山水,伍相奴，或扰人，许于伍相庙多已。旧说姓姚，二姓王，三姓汪。昔值洪水，食都树皮，饿死，化为鸟都，皮骨为猪都，妇女为人都。鸟都左腋下有镜印，阔二寸分，右脚无大指，右……
29,卷十五·诺皋记下,三校,V29-P519,动物、建筑寺塔、器物技艺、佛道宗教、天文地理、超自然力量,兽类、宫殿城楼、用具杂器、道法、天象、法术仙术,刘元鼎为蔡州蔡州新破，食场狐暴，刘遣吏生捕，日于球场纵犬逐之为乐。经年，所杀百数。后获一疥狐，纵五六犬皆不敢逐，狐亦不走。刘大异之，令访大将家猎狗及监军亦自夸巨……
29,卷十五·诺皋记下,三校,V29-P520,饮食医药、天文地理,医术药理、天象,南中有兽名风狸，如狙，眉长好羞，见人辄低头。其溺能理风疾。卫士多言风狸杖难得于翳形草。南人以上长绳系于野外大树下，入匿于旁树穴中伺之。三日后，知无人至，乃于草中……
29,卷十五·诺皋记下,三校,V29-P521,人物政事、建筑寺塔、梦兆占卜、天文地理、超自然力量,将相臣子、宫殿城楼、祥瑞灾异、地理山水、灵异物件,开成末，永兴坊百姓王乙掘井，过常井一丈余无水。忽听向下有人语及鸡声，甚喧闹，近如隔壁。井匠惧，不敢掘。街司申金吾韦处仁将军，韦以事涉怪异，不复奏，遽令塞之。据亡……
29,卷十五·诺皋记下,三校,V29-P523,动物、建筑寺塔、器物技艺,昆虫、宫殿城楼、用具杂器,太和末，荆南松滋县南，有士人寄居亲故庄中肄业。初至之夕，二更后，方张灯临案，忽有小人才半寸，葛巾杖策，入门谓士人曰：「乍到无主人，当寂寞。」其声大如苍蝇。士人素……
29,卷十五·诺皋记下,三校,V29-P524,建筑寺塔、超自然力量,宫殿城楼、灵异物件,京宣平坊，有官人夜归入曲，有卖油者张帽驱驴，驮桶不避，导者搏之，头随而落，遂遽入一大宅门。官人异之，随入，至大槐树下遂灭。因告其家，即掘之。深数尺，其树根枯，下……
29,卷十五·诺皋记下,三校,V29-P527,饮食医药、梦兆占卜,食物饮品、祥瑞灾异,郓州阚司仓者，家在荆州。其女乳母钮氏，有子，妻爱之，与其子均焉，衣物饮食悉等。忽日，妻偶得林檎蒂，戏与己子，孔母乃怒曰：「小娘子成长，忘我矣。常有物与我子停分，……
29,卷十五·诺皋记下,三校,V29-P528,饮食医药、天文地理,医术药理、天象,荆州处士侯又玄，常出郊，厕于荒冢上。及下，跌伤其肘，创甚。行数百步，逢老人，问何所苦也，又玄见其肘。老人言：「偶有良药，可封之，下日不开必愈。」又玄如其言。及解……
29,卷十五·诺皋记下,三校,V29-P529,饮食医药、天文地理,食物饮品、医术药理、地理山水,许卑山人言，江左数十年前，有商人左膊上有疮，如人面，亦无它苦。商人戏滴酒口中，其面亦赤。以物食之，凡物必食，食多觉膊内肉涨起，疑胃在其中也。或不食之，则一臂痺焉……
29,卷十五·诺皋记下,三校,V29-P530,器物技艺、天文地理,武器、地理山水,工部员外张周封言，今年春，拜扫假回，至湖城逆旅。说去年秋有河北军将过此，至郊外数里，忽有旋风如升器，常起于马前，军将以鞭击之转大，遂旋马首，鬣起如植。军将惧，下……
30,卷十六·广动植之一,三校,V30-P532,动物、植物、器物技艺、饮食医药、天文地理,龙蛇类、鸟类、兽类、鱼类、昆虫、花草、果蔬、用具杂器、食物饮品、天象、地理山水,羽嘉生飞龙，飞龙生凤，凤生鸾，鸾生庶鸟。应龙生建鸟，建鸟生麒麟，骐麟生庶兽。分鳞生蛟龙，蛟龙生鲲鲠，鲲鲠生建邪，建邪生庶鱼。分潭生先龙，先龙生玄亢，玄亢生灵……
30,卷十六·广动植之一,三校,V30-P533,人物政事、动物、植物、天文地理,侠盗刺客、鸟类、兽类、鱼类、花草、果蔬、药草、天象,人参处处生，兰长生为瑞。有实曰果。又在木曰果。小麦忌戌，大麦忌子。荠、葶苈、菥莫为三叶，孟夏煞之。乌头壳外有毛，石劫应节生花。木再花，夏有雹。李再花，秋大霜。木……
30,卷十六·广动植之一,三校,V30-P534,人物政事、动物,将相臣子、兽类、鱼类,葛稚川尝就上林令鱼泉，得朝臣所上草木名二十馀种。邻人石琼，就之求借，皆遗弃。语曰：「买鱼得与，不如食茹。」「宁去累世宅，不去{制鱼}鱼额。」「洛鲤伊鲂，贵于牛……
31,卷十六·广动植之一,三校,V31-P537,动物、天文地理,鸟类、天象、地理山水,鹳，江淮谓群鹳旋飞为鹳井。鹤亦好旋飞，必有风雨。人探巢取鹳子，六十里早。能群飞薄霄激雨，雨为之散。
31,卷十六·广动植之一,三校,V31-P538,动物、梦兆占卜,鸟类、占卜预言,乌鸣地上无好声。人临行，乌鸣而前引，多喜，此旧占所不载。贞元四年，郑、汴二州，群鸟飞入田李纳绪境内，衔木为城，高至二三尺，方十馀里。纳绪恶而命焚之，信宿如旧，乌……
31,卷十六·广动植之一,三校,V31-P541,动物、天文地理,兽类、地理山水,燕，凡狐白貉鼠之类，燕见之则毛脱。或言燕蛰于水底。旧说燕不入室，是井之虚也。取桐为男女各一，投井中，燕必来。胸班黑，声大，名胡燕。其巢有容匹素练者。
31,卷十六·广动植之一,三校,V31-P544,人物政事、动物,帝王、鸟类,鹦鹉，能飞。众鸟趾前三后一，唯鹦鹉四趾齐分。凡鸟下睑眨上，独此鸟两睑俱动，如人目。玄宗时，有五色鹦鹉能言，上令左右试牵帝衣，鸟辄瞋目叱吒。岐府文学能延京献《鹦鹉……
31,卷十六·广动植之一,三校,V31-P551,动物、梦兆占卜、超自然力量,鸟类、昆虫、祥瑞灾异、灵异物件,异鸟，天宝二年，平卢有紫虫食禾苗。时东北有赤头鸟，群飞食之。开元二十三年，榆关有予方虫，延入平州界，亦有群雀食之。又开元中，具州蝗虫食禾，有大白鸟数千，小白……
31,卷十六·广动植之一,三校,V31-P554,动物、佛道宗教,鸟类、道法,吐绶鸟，鱼复县南山有鸟，大如鸲鹆，羽色多黑，杂以黄白，头颊似雉，有时吐物，长数寸，丹彩彪炳，形色类绶，因名为吐绶鸟。又食必蓄膆，臆前大如斗，虑触其膆，行每远草木……
